"","depth","upper_age","lower_age","Lycopodium...4","Lycopodium...5","Monolete psilate","Polypodium","Ophioglossum","Allantodia","Cyathea","Aspleniaceae","Asplenium","Cyclosorus","Selaginella","Gleicheniaceae","Trilete","Hymenophyllaceae","Pteris","Adiantum","Spore 47","Athyriaceae","Blechnum","Davalliaceae","Sinopteridaceae","Pleuromanes","Arcella discoides","Lophosoria","Hypolepis","Spore 32","Pityrogramma","Histrichosphaeridae","Jamesonia","Spore 54","Sporormiella","Isoetes","Cyperaceae","Myriophyllum","Alismataceae","Acalypha","Alchornea","Alnus","Amaranthaceae","Ambrosia","Anacardiaceae","Asteraceae 1","Caryophyllaceae","Celtis","Cecropia","Clethra","Ericaceae","Hedyosmum","Melast/Combret","Meliaceae/Bruniaceae","Morac/Urtica","Myrica/Morella","Myrsine","Plantago","Poaceae","Podocarpus","Polylepis","Solanaceae","Symplocos","Thalictrum","Trema","Weinmannia","Valeriana","Vallea","Zea mays","Apiaceae","Eryngium (Apiaceae)","Psyllocarpus/Micrandra?","Fabaceae © cf Cercidium","Licania","Virola","Aechmea","cf Panopsis (Proteaceae)","Rubiaceae (cf Uncaria)","cf Sapium","cf Matayba (Sapind)","Rubiaceae (cf Hoffmannia)","Aralia","Juglandaceae","Mutisia (Astera)","Tricolp. 8 (Poma)","Pera (Euphorb)","Gunnera","Borreria (Rub)","Gonocalyx (Ericaceae)","Asteraceae (lig)","Pagamea (Rub)","Paullinia (Sapind)","Malanea (Rub)","Loranthaceae","Dodonaea (Sapind.)","Brassicaceae","cf Rubiaceae","Lamiaceae","cf Rhamnaceae","Fagara (Rubiaceae)","Alseis","Alchornea Type 2","cf Sapindaceae","Alternanthera","Rumex","Portulaceae","Polygalaceae","Fabaceae (P) rectangular/ Dalea","cf Sabicea (Rubiaceae)","Bocconia","Dendropanax (Araliaceae)","Carapa (Meliaceae)","Sapotaceae","Fab.syncolpate","Tricolp. 10 (Poma)","Begoniaceae","Apocynaceae","Bignoniaceae","Tovomotopsis","Piper","Uncaria 2","Fabaceae (M)","Inaperturate cf Bromel/Aracec","Ephedra","Myrtaceae","Schefflera (Araliaceae)","cf. Pandanaceae Freycinetia","Mimosa","Arecaceae","Bromeliaceae (Puya)","Philodendron","Anthurum","Cupressaceae","Nymphaeaceae","Boraginaceae","Bursera?","Podocarpus fininho","Froesiodendron","Ulmaceae","Saccate 1","Nyctaginaceae fig 3 plate 127","Poaceae >80 cm","Unknown"
"33","80",1914,1953,178,5,21,3,0,4,4,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,14,10,0,0,5,2,57,0,0,1,7,1,0,1,7,0,43,7,0,23,1,8,0,89,15,5,2,3,2,0,2,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","82.5",1953,1992,176,0,32,6,1,5,6,4,1,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,10,0,0,10,1,43,0,3,0,16,4,0,1,4,0,42,12,6,10,2,4,0,93,6,4,0,6,2,0,3,2,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","85",1992,2030,299,0,25,2,0,4,3,4,1,3,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,11,12,0,0,7,1,48,0,0,0,5,0,0,0,1,0,47,6,0,17,1,5,0,113,12,5,4,5,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","87.5",2030,2068,239,0,25,2,0,4,3,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,8,10,0,0,8,2,48,0,0,0,9,0,1,0,1,0,42,9,0,12,0,4,1,112,17,8,0,1,0,0,3,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","90",2068,2106,216,1,38,2,10,0,12,6,1,4,4,0,3,2,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,2,2,20,18,0,0,8,2,39,1,0,0,9,0,0,1,3,0,49,15,3,13,4,2,2,82,11,6,2,4,2,0,4,2,5,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","92.5",2106,2144,356,0,48,4,0,6,12,13,3,7,2,1,1,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,2,4,0,0,4,1,36,1,0,0,8,0,0,0,0,2,32,5,0,12,1,2,0,167,5,0,0,2,1,0,3,3,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","95",2144,2183,517,0,92,3,3,4,5,16,2,11,4,3,4,4,1,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,6,11,4,0,0,2,2,37,0,0,0,7,0,0,0,2,0,22,13,0,35,1,3,1,146,3,2,2,4,1,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","97.5",2183,2222,204,2,36,6,2,2,4,6,1,2,3,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,10,14,0,0,10,1,41,0,0,0,18,0,0,2,2,0,42,9,0,17,8,0,4,94,6,1,2,2,1,1,6,1,4,0,0,0,1,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","100",2222,2261,239,0,27,3,0,0,2,0,0,1,3,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,13,11,0,0,5,1,47,1,0,1,8,2,NA,3,5,2,18,7,NA,18,NA,7,2,113,8,9,4,8,2,NA,4,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,2,1,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","102.5",2261,2299,302,0,32,5,1,4,8,3,3,6,2,1,2,4,0,1,2,0,5,0,0,2,0,0,0,0,0,0,0,0,10,10,20,0,0,4,1,32,1,2,0,20,0,0,0,4,0,51,11,2,14,3,2,1,83,6,8,0,0,3,0,4,0,4,1,3,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","105",2299,2338,312,1,38,2,0,4,7,6,2,0,3,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,5,13,7,0,0,9,2,43,0,0,0,9,0,0,0,3,1,41,8,0,11,0,4,0,112,11,4,4,4,3,0,3,1,2,1,1,0,3,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","107.5",2338,2377,235,1,28,4,10,0,6,6,2,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,9,12,1,0,6,2,28,1,0,0,10,2,0,2,2,0,64,13,2,14,4,2,2,82,6,16,0,4,1,0,2,0,4,0,2,1,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","110",2377,2415,189,1,12,1,0,0,1,1,2,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,12,15,0,0,8,2,37,2,0,0,7,1,0,1,1,0,47,11,0,35,2,2,4,89,10,3,1,1,3,0,6,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","112.5",2415,2454,213,1,22,4,3,1,0,4,2,2,5,0,3,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,2,3,7,0,0,6,2,27,0,0,0,13,0,0,2,4,0,56,10,2,15,8,2,0,94,9,4,0,0,2,0,14,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","115",2454,2493,221,0,34,6,3,1,10,9,4,2,3,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,8,0,0,2,2,24,1,0,0,12,0,0,2,6,0,37,16,0,10,8,6,0,118,12,6,0,0,0,0,12,0,4,0,3,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","117.5",2493,2533,312,3,36,3,1,3,3,8,4,0,2,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4,10,10,1,0,6,0,13,0,0,0,16,3,0,0,10,0,30,14,2,12,2,2,3,122,24,6,0,5,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"49","120",2533,2571,286,1,36,5,4,6,3,6,3,2,2,0,2,0,1,2,2,0,0,3,0,1,1,1,0,0,0,1,0,0,4,11,12,0,0,3,1,17,1,0,0,11,0,1,1,8,0,36,16,1,18,4,6,1,121,3,4,1,0,0,0,12,0,4,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","122.5",2571,2609,252,1,38,10,4,5,2,10,3,5,4,2,2,5,1,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,5,14,8,0,0,4,1,14,1,0,0,12,0,1,0,8,0,40,14,0,15,3,8,4,118,4,4,1,0,0,0,14,0,6,0,3,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","125",2609,2650,225,0,22,0,8,0,6,6,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,8,7,0,0,12,0,8,0,0,0,16,0,0,1,0,0,46,17,0,12,4,4,2,125,12,8,0,0,0,0,10,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","127.5",2650,2690,271,0,31,10,6,2,10,8,4,1,2,0,2,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,10,4,11,0,0,4,2,18,4,0,0,14,0,0,0,6,0,30,18,0,14,0,3,0,138,4,6,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","130",2690,2727,225,0,34,3,8,0,8,6,2,5,2,0,0,0,0,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,11,11,0,0,11,0,16,0,0,0,10,0,0,0,2,0,19,23,0,20,6,3,0,111,15,12,0,0,1,0,11,0,2,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","132.5",2727,2765,224,0,38,6,4,0,6,8,5,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,0,0,6,0,28,0,0,0,8,0,0,2,3,0,28,14,0,20,10,2,1,121,10,6,0,4,0,0,10,1,4,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","135",2765,2804,284,0,51,7,5,0,9,2,3,0,1,0,1,0,0,2,2,1,1,0,1,0,0,0,0,0,1,0,1,0,7,11,10,0,0,7,0,27,0,0,0,10,0,0,0,2,0,15,13,0,16,7,3,0,143,1,3,0,4,0,0,10,1,2,0,2,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,4,0,0,3,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","137.5",2804,2842,257,2,40,2,8,3,7,2,8,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,6,12,5,0,0,8,0,27,0,0,0,9,0,0,0,2,0,13,12,0,27,4,2,0,143,0,2,0,6,0,0,13,1,1,1,1,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,4,0,0,3,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","140",2842,2881,308,0,53,4,1,0,6,9,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,10,0,0,8,4,28,0,1,0,15,0,0,1,1,0,23,10,2,13,9,3,1,122,11,4,0,3,0,0,12,1,2,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","142.5",2881,2919,200,0,44,12,6,0,10,10,6,4,2,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,11,12,0,0,4,0,24,0,0,0,12,0,0,0,6,0,20,18,2,14,6,6,1,119,8,8,0,1,0,0,12,1,2,0,2,0,0,0,1,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","145",2919,2959,207,0,38,4,1,0,6,8,2,5,1,0,2,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,5,6,10,0,0,7,0,36,0,0,0,10,0,0,3,0,0,21,12,8,27,0,4,0,118,12,2,0,0,0,0,10,0,4,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","147.5",2959,2999,208,1,38,6,8,0,12,4,4,5,2,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,14,6,0,0,18,1,16,1,0,0,14,0,0,0,10,0,22,10,4,16,4,0,4,122,12,4,4,0,0,0,9,0,1,0,0,0,1,0,3,0,0,0,1,1,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"61","150",2999,3046,275,0,50,15,4,0,11,10,2,4,4,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4,7,0,0,5,2,12,0,0,0,18,0,0,1,2,0,6,14,0,27,2,2,2,130,6,5,0,2,1,0,17,0,2,0,2,0,2,0,2,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,2,3,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","152.5",3046,3077,248,6,31,2,7,2,6,4,4,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,14,8,0,0,5,2,28,0,0,0,16,0,0,0,0,0,8,26,0,27,2,4,2,129,0,6,0,0,1,0,10,0,3,0,0,0,1,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"63","155",3077,3115,233,4,26,2,6,0,12,6,4,4,2,0,0,2,0,2,2,0,0,0,0,0,1,0,1,0,0,1,0,0,8,8,10,0,0,11,0,14,0,0,0,12,0,0,2,2,0,9,26,2,31,0,2,8,119,6,4,2,0,1,0,16,0,4,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"64","157.5",3115,3154,301,0,46,11,5,4,9,6,1,7,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,0,0,10,0,17,0,0,0,14,0,1,0,2,0,10,8,2,27,4,2,2,132,4,6,0,0,0,0,16,2,1,0,1,0,0,0,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,6,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","160",3154,3192,197,2,39,4,2,0,6,2,0,1,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,8,0,0,14,2,25,0,0,0,16,0,1,3,6,0,11,14,0,27,6,2,4,115,4,6,0,0,0,0,10,1,4,0,4,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","162.5",3192,3230,198,0,39,10,2,2,4,6,2,6,4,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,1,8,0,0,5,0,24,0,0,0,13,1,2,3,2,0,8,13,4,25,4,0,4,123,4,6,2,6,0,0,18,2,1,0,3,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"67","165",3230,3268,322,0,28,9,4,0,10,3,6,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,11,8,0,0,11,0,24,0,0,0,16,0,0,2,0,0,4,14,1,30,14,2,0,124,6,10,0,0,0,0,11,3,2,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"68","167.5",3268,3306,288,0,19,7,2,0,9,9,3,6,2,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,8,7,8,0,0,12,0,18,0,1,0,12,0,1,3,6,0,13,11,0,29,5,1,5,123,6,7,0,2,1,0,16,0,6,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","170",3306,3345,237,1,38,4,5,1,5,7,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,12,10,0,0,13,4,11,0,1,0,16,0,0,1,6,0,9,15,0,18,4,3,1,130,2,6,0,2,1,0,22,0,4,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"70","172.5",3345,3384,139,4,37,5,4,0,8,6,0,8,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,0,0,8,1,14,3,0,0,17,0,2,1,2,0,8,17,0,30,16,0,5,125,2,7,0,0,2,0,13,0,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"71","175",3384,3422,195,0,36,9,4,0,7,6,0,6,6,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,12,9,0,0,15,2,22,0,0,0,16,0,0,1,0,0,10,12,0,28,3,4,3,130,6,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,4,3,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","177.5",3422,3460,198,2,28,4,1,0,8,12,1,0,6,0,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,5,0,0,2,0,6,1,0,0,10,1,0,6,2,0,7,20,0,50,1,1,1,151,6,2,0,6,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
